"","time","Concentration"
"1",0.0024,1.82366766181795e-05
"2",0.0144,5.63425014292066e-05
"3",0.0264,7.18605094327638e-05
"4",0.0384,7.50365241694721e-05
"5",0.0504,7.23051514959029e-05
"6",0.0624,6.96372991170679e-05
"7",0.0744,6.63977640856254e-05
"8",0.08641,6.33551419678587e-05
"9",0.09841,6.04522644985073e-05
"10",0.1104,5.7689131677571e-05
"11",0.1224,5.51800800355714e-05
"12",0.1344,5.28806453661945e-05
"13",0.1464,5.0860699993648e-05
"14",0.1584,4.90884837705647e-05
"15",0.1704,4.73226195769548e-05
"16",0.1824,4.55694594422918e-05
"17",0.1944,4.43498697833958e-05
"18",0.2064,4.30222956234517e-05
"19",0.2184,4.16693133456139e-05
"20",0.2304,4.05323000698723e-05
"21",0.2424,3.94397510004446e-05
"22",0.2544,3.83217938131233e-05
"23",0.2664,3.73816934510576e-05
"24",0.2784,3.64670012068856e-05
"25",0.2904,3.55205488153465e-05
"26",0.3024,3.46058565711745e-05
"27",0.3144,3.37229244743696e-05
"28",0.3264,3.29797370259798e-05
"29",0.3384,3.23064219017976e-05
"30",0.3504,3.1550530394461e-05
"31",0.3624,3.09661436829067e-05
"32",0.3744,3.02420123229372e-05
"33",0.3864,2.96830337292765e-05
"34",0.3984,2.91367591945627e-05
"35",0.4104,2.86476529251096e-05
"36",0.4224,2.8120434478816e-05
"37",0.4344,2.75614558851553e-05
"38",0.4464,2.71485739693832e-05
"39",0.4584,2.66467636409833e-05
"40",0.4704,2.61576573715302e-05
"41",0.4824,2.58082957504923e-05
"42",0.4944,2.53763577462999e-05
"43",0.5064,2.49063075652671e-05
"44",0.5184,2.45315378263355e-05
"45",0.5304,2.41186559105634e-05
"46",0.5424,2.37502382011053e-05
"47",0.5544,2.33881725211205e-05
"48",0.5664,2.30324588706092e-05
"49",0.5784,2.27593216032522e-05
"50",0.5904,2.24099599822143e-05
"51",0.6024,2.21431747443308e-05
"52",0.6144,2.18763895064473e-05
"53",0.6264,2.16159562980372e-05
"54",0.6384,2.13555230896271e-05
"55",0.6504,2.10950898812171e-05
"56",0.6624,2.08028965254399e-05
"57",0.6744,2.05869275233437e-05
"58",0.6864,2.030108619704e-05
"59",0.6984,2.00851171949438e-05
"60",0.7104,1.9767515721273e-05
"61",0.7224,1.95578987486502e-05
"62",0.7344,1.93546338055009e-05
"63",0.7464,1.9113256685511e-05
"64",0.7584,1.89099917423617e-05
"65",0.7704,1.87384869465794e-05
"66",0.7825,1.85733341802706e-05
"67",0.7945,1.83700692371213e-05
"68",0.8065,1.82049164708124e-05
"69",0.8185,1.80397637045036e-05
"70",0.8305,1.78746109381948e-05
"71",0.8425,1.76776980245188e-05
"72",0.8545,1.75506574350505e-05
"73",0.8665,1.7360096550848e-05
"74",0.8785,1.72648161087467e-05
"75",0.8905,1.70996633424379e-05
"76",0.9025,1.68519341929747e-05
"77",0.9145,1.66931334561392e-05
"78",0.9265,1.6597853014038e-05
"79",0.9385,1.6445404306676e-05
"80",0.9505,1.63183637172077e-05
